task,gpt56_score,r16_reward,r16_n,glm52_verifier_mean,glm52_composite_mean,glm52_n
audit-mac-pager-fix,1.0,,,0.7500,0.8034,8
audit-rulepack-merger,1.0,,,0.8750,0.9074,8
aurora-governance-reconcile,1.0,,,0.6250,0.6957,8
aurorawave-substorm-report,1.0,,,0.0000,0.2756,8
australian-river-scaling,1.0,,,1.0000,0.8479,8
auth-drift-analyzer,1.0,,,0.6250,0.7363,8
auth-loose-comparison-hardening,1.0,,,0.7500,0.7828,8
authenticated-chain-replication,1.0,,,0.6250,0.6841,8
authenticated-release-audit,1.0,,,0.0000,0.2799,8
authenticated-release-inventory,1.0,,,1.0000,0.9772,8
authoritative-snapshot-verdicts,1.0,,,1.0000,1.0000,8
autocomplete-verdict-ledger,1.0,,,0.1250,0.3648,8
autosave-draft-reconciler,1.0,,,0.6250,0.7331,8
backgammon-flag-windows,1.0,,,0.1250,0.3386,8
backgammon-match-adjudicator,1.0,,,0.1250,0.3836,8
backtracking-lockfile-resolver,1.0,,,1.0000,0.9805,8
backup-chain-validator,1.0,,,0.8750,0.7637,8
backup-retention-planner,1.0,,,0.6250,0.7139,8
ballast-close-recalibration,1.0,,,0.7500,0.7509,8
ballot-quorum-replay,1.0,,,1.0000,0.8875,8
bastion-quarantine-gate,1.0,,,0.0000,0.0879,8
batch-cutoff-reconcile,1.0,,,0.8750,0.8098,8
batch-picker-contract-fix,1.0,,,0.8750,0.8906,8
batch-reactor-simulator,1.0,,,1.0000,0.9978,8
batchd-manifest-cutover,1.0,,,1.0000,0.9653,8
battery-bay-reservations,1.0,,,0.0000,0.2931,8
battery-string-roster,1.0,,,0.8750,0.9125,8
beam-allocation-service,1.0,,,0.7500,0.8159,8
beamline-profile-scheduler,1.0,,,0.6250,0.6297,8
beamsign-custody-repair,1.0,,,0.2500,0.4750,8
bell-crypt-clearance,1.0,,,0.1250,0.3731,8
bench-soldiers-game,1.0,,,0.6250,0.5486,8
benchmark-order-sync,1.0,,,1.0000,0.9928,8
benchsoldiers-nim-fix,1.0,,,0.7500,0.5760,8
bessel-kernel-evaluator,1.0,,,0.8750,0.8854,8
beta-tail-quantile,1.0,,,0.6250,0.6964,8
bike-rental-auditor,1.0,,,0.6250,0.5577,8
billing-api-compat-diff,1.0,,,0.0000,0.2645,8
binary32-fma-rounding,1.0,,,0.0000,0.2511,8
bind-zone-audit-fix,1.0,,,0.0000,0.2984,8
biometric-ledger-revocation,1.0,,,0.6250,0.7237,8
bitemporal-policy-reconciler,1.0,,,0.0000,0.3000,8
blackhole-registry-fix,1.0,,,1.0000,0.9719,8
blend-parser-hardening,1.0,,,0.8750,0.8903,8
blender-layout-fix,1.0,,,1.0000,0.9766,8
blizzard-interval-audit,1.0,,,0.3750,0.5625,8
block-log-adjudicator,1.0,,,0.6250,0.7167,8
boarding-manifest-gate,1.0,,,0.8750,0.8375,8
bollen-sem-pipeline,1.0,,,1.0000,0.9169,8
bonded-warehouse-repair,1.0,,,0.7500,0.8250,8
boot-attestation-desk,1.0,,,0.2500,0.4690,8
boot-policy-reconcile,1.0,,,1.0000,1.0000,8
border-queue-audit,1.0,,,0.6250,0.7307,8
border-queue-optimizer,1.0,,,0.1250,0.2353,8
bounce-pacer-verdicts,1.0,,,1.0000,0.9713,8
boundary-audit-linter,1.0,,,0.1250,0.3462,8
bouquet-game-solver,1.0,,,1.0000,1.0000,7
bowling-rotation-planner,1.0,,,0.0000,0.3000,7
bpeforge-tokenizer-audit,1.0,,,0.0000,0.2898,8
break-glass-release-gate,1.0,,,0.1250,0.3808,8
breakglass-pam-recovery,1.0,,,0.0000,0.2790,8
bridge-double-dummy-solver,1.0,,,0.8750,0.8729,8
broker-race-router,1.0,,,0.7500,0.7384,8
buffer-pool-verdict-fix,1.0,,,1.0000,0.9571,8
build-dag-trace-repair,1.0,,,0.7500,0.8198,8
buildplan-stale-timings,1.0,,,0.0000,0.1156,8
bundle-barrier-replay,1.0,,,0.0000,0.2550,8
bundle-partition-cliff,1.0,,,1.0000,0.8471,8
bundle-trust-enforcer,1.0,,,0.2500,0.4261,8
buoy-spectra-recovery,1.0,,,1.0000,0.9797,8
buoy-spectrum-attestation,1.0,,,0.8750,0.8731,8
bxhost-ledger-reconcile,1.0,,,0.7500,0.7773,8
bytecode-verifier-vm,1.0,,,0.2500,0.4141,8
byterange-audit-drift,1.0,,,1.0000,0.9777,8
byzantine-share-recovery,1.0,,,0.8750,0.9071,8
ca-rotation-recovery,1.0,,,1.0000,0.9864,8
ca-trust-reconcile,1.0,,,1.0000,0.9893,8
cabana-capacity-state,1.0,,,0.2500,0.4423,8
cabinet-admission-warden,1.0,,,0.1250,0.3764,8
cache-coherence-reckoning,1.0,,,1.0000,0.9385,8
cache-compat-selector,1.0,,,0.8750,0.7658,8
cache-event-replayer,1.0,,,1.0000,0.9897,8
cache-policy-merge,1.0,,,1.0000,0.9742,8
cache-trace-replay,1.0,,,0.1250,0.3253,8
cafe-rental-state-audit,1.0,,,0.6250,0.6625,8
calendar-macro-trace-fix,1.0,,,0.8750,0.7712,8
calibration-promotion-pipeline,1.0,,,0.2500,0.4685,8
calorimeter-burn-binder,1.0,,,0.6250,0.7058,8
campaign-holdup-calibration,1.0,,,0.5000,0.5779,8
campaign-revenue-attribution,1.0,,,0.8750,0.9102,8
canal-barge-game,1.0,,,1.0000,0.7000,8
canal-lock-scheduler,1.0,,,0.8750,0.9083,8
canasta-meld-validator,1.0,,,0.2500,0.4481,8
candle-workspace,1.0,,,1.0000,0.9934,8
canister-ledger-audit,1.0,,,0.5000,0.5639,8
canon-template-counter,1.0,,,0.5000,0.6125,8
canonical-range-alias-fix,1.0,,,1.0000,0.9920,8
canopy-laplace-likelihood,1.0,,,0.6250,0.7268,8
canopy-lock-compat,1.0,,,1.0000,1.0000,8
cantilever-modal-fix,1.0,,,1.0000,0.9425,8
capability-admission-slate,1.0,,,0.2500,0.4689,8
capability-crdt-revocation,1.0,,,0.1250,0.3255,8
capsule-health-decoder,1.0,,,0.0000,0.2991,8
capture-audit-idempotency,1.0,,,1.0000,0.9106,8
car-wash-billing-report,1.0,,,1.0000,0.9375,8
card-duel-engine,1.0,,,0.7500,0.7858,8
cargo-dependency-debugger,1.0,,,1.0000,0.9932,8
cargo-hexbin-ledger,1.0,,,0.0000,0.3000,8
cargo-render-pipeline-fix,1.0,,,0.8750,0.8817,8
carrier-billing-revenue,1.0,,,1.0000,0.9958,8
cartkit-cent-reckoning,1.0,,,1.0000,0.9625,8
catalog-locale-recovery,1.0,,,0.0000,0.2732,8
catan-trade-adjudicator,1.0,,,1.0000,0.9922,8
category-revenue-reconciler,1.0,,,1.0000,0.9979,8
caterer-booking-guardrails,1.0,,,0.0000,0.2578,8
catering-billing-report,1.0,,,1.0000,0.9775,8
causal-counterfactual-solver,1.0,,,0.5000,0.6182,8
causal-graph-discovery,1.0,,,1.0000,0.7161,8
ccd-mosaic-reducer,1.0,,,0.0000,0.2894,8
cctl-recovery-artifacts,1.0,,,0.7500,0.7386,8
cell-free-kinetic-fit,1.0,,,0.8750,0.9125,8
ceremony-replay-checkpoints,1.0,,,0.5000,0.5778,8
cert-path-verifier,1.0,,,0.0000,0.2786,8
cert-renewal-planner,1.0,,,0.1250,0.3875,8
certified-model-scoring,1.0,,,0.6250,0.5693,8
cfg-batch-seed-repair,1.0,,,0.0000,0.1352,8
cfgstack-quorum-attestation,1.0,,,0.0000,0.2259,8
cgroup-oom-ledger-repair,1.0,,,0.8750,0.8261,8
chamber-run-scheduler,1.0,,,1.0000,0.9625,8
charge-view-drift,1.0,,,0.0000,0.2045,8
checkpoint-readiness-gate,1.0,,,0.3750,0.4541,8
checkpoint-stable-mc,1.0,,,1.0000,0.9601,8
checkpoint-timeline-parity,1.0,,,1.0000,0.9312,8
choir-map-solver,1.0,,,0.8750,0.8662,8
chronometry-lattice-seal,1.0,,,0.8750,0.8473,8
chunk-owner-rollup-fix,1.0,,,0.5000,0.6500,8
chunked-transfer-audit,1.0,,,1.0000,1.0000,8
chunkvault-restore-recovery,1.0,,,0.8750,0.8938,8
cinder-authority-resolution,1.0,,,0.0000,0.2843,8
cis-audit-hashchain,1.0,,,0.5000,0.6189,8
claimsync-report-reconcile,1.0,,,0.8750,0.8716,8
climate-allocation-service,1.0,,,1.0000,0.9583,8
clips-maxflow-overlay,1.0,,,1.0000,0.9006,8
clock-forest-reconcile,1.0,,,0.8750,0.9125,8
cloglog-climate-crashes,1.0,,,1.0000,0.9732,8
closed-interval-query-fix,1.0,,,1.0000,0.8965,8
cloud-replica-repair,1.0,,,1.0000,1.0000,8
coastal-beacon-localizer,1.0,,,0.3750,0.5504,8
codebreaker-jsonl-bot,1.0,,,1.0000,0.9759,8
cohort-cap-breach,1.0,,,1.0000,0.9264,8
cohort-vcf-harmonizer,1.0,,,0.5714,0.6643,7
coil-gain-estimator,1.0,,,1.0000,1.0000,8
coldplug-ledger-reconcile,1.0,,,0.8750,0.8082,8
coldplug-ledger-repair,1.0,,,1.0000,0.9886,8
collateral-cheapest-deliver,1.0,,,0.5000,0.6059,8
columnar-compaction-contract,1.0,,,0.6250,0.7100,8
combat-ledger-restore,1.0,,,0.0000,0.2721,8
commit-chain-verifier,1.0,,,0.0000,0.2977,8
compost-heat-rollup,1.0,,,0.6250,0.7351,8
concurrent-retention-footprint,1.0,,,0.0000,0.2885,8
condensate-numerics-core,1.0,,,1.0000,0.9971,8
conference-track-orbit,1.0,,,1.0000,1.0000,8
config-driven-orderbook,1.0,,,0.7500,0.7275,8
config-ini-browser-editor,1.0,,,1.0000,0.9772,8
config-sync-ledger-fix,1.0,,,1.0000,1.0000,8
conflict-aware-bundle-pick,1.0,,,1.0000,0.8808,8
consolidation-model-repair,1.0,,,0.8750,0.8603,8
constrained-spectral-unmixing,1.0,,,0.3750,0.4927,8
container-policy-auditor,1.0,,,1.0000,0.8823,8
container-promotion-gate,1.0,,,0.3750,0.5349,8
container-yard-engine,1.0,,,0.8750,0.8268,8
content-manager-permission-audit,1.0,,,0.5000,0.5917,8
contract-price-allocation,1.0,,,1.0000,0.9625,8
control-decay-investigator,1.0,,,0.7500,0.7411,8
conventional-release-notes,1.0,,,0.3750,0.5363,8
cookie-session-guard,1.0,,,0.5000,0.5812,8
core-stack-forensics,1.0,,,0.5000,0.5952,8
corridor-population-simulator,1.0,,,0.5000,0.6050,8
corridor-slot-reconciliation,1.0,,,0.6250,0.6681,8
cors-authorizer-bypass,1.0,,,0.0000,0.2674,8
cost-sensitive-default-risk,1.0,,,0.6250,0.7100,8
covid-mortality-shrinkage,1.0,,,0.3750,0.5092,8
crate-dependency-resolver,1.0,,,0.7500,0.6687,8
crdt-json-materializer,1.0,,,0.5000,0.6125,8
credential-earnings-panel,1.0,,,0.8750,0.8165,8
credit-ledger-replay,1.0,,,0.2500,0.3262,8
credit-score-release-link,1.0,,,1.0000,0.9536,8
cribbage-round-scorer,1.0,,,0.7500,0.7875,8
crispr-screen-loader,1.0,,,0.6250,0.7121,8
cron-firetimes-fix,1.0,,,1.0000,0.9492,8
cron-policy-remediation,1.0,,,0.8750,0.9125,8
crop-acreage-close,1.0,,,1.0000,0.9968,8
cross-format-type-ladder,1.0,,,1.0000,0.8839,8
crossdock-allocation-sql-fix,1.0,,,1.0000,0.9841,8
cryo-replay-drift-fix,1.0,,,0.0000,0.2110,8
cryophase-report-repair,1.0,,,0.1250,0.3330,8
cryostat-rack-packing,1.0,,,1.0000,0.9418,8
csp-fallback-merger,1.0,,,0.8750,0.9125,8
csv-parser-queries,1.0,,,0.8750,0.9125,8
csv-sql-planner-tune,1.0,,,0.0000,0.2625,8
ct-policy-lane-grader,1.0,,,0.0000,0.2844,8
ctc-streaming-consistency,1.0,,,0.0000,0.2737,8
ctl-stamp-lane-forge,1.0,,,0.8750,0.9027,8
ctr-inflation-attribution,1.0,,,1.0000,0.9871,8
current-optimal-routing,1.0,,,1.0000,1.0000,8
customer-diff-guard,1.0,,,0.0000,0.2920,8
cyclone-vortex-replayer,1.0,,,0.0000,0.2221,8
cyclonedx-sbom-guard,1.0,,,0.3750,0.5471,8
d-resolver-lock-report,1.0,,,0.3750,0.5443,8
dafny-mult-proof,1.0,,,0.0000,0.2173,8
dag-slot-cascade,1.0,,,1.0000,0.9540,8
dark-matter-eventflow,1.0,,,1.0000,0.9753,8
datacenter-window-planner,1.0,,,0.5000,0.6117,8
dbpool-exhaustion-diagnostics,1.0,,,0.0000,0.2845,8
decimal-glyph-counter,1.0,,,0.7500,0.7761,8
deflate-roundtrip-codec,1.0,,,0.1250,0.3693,8
delegated-access-recovery,1.0,,,1.0000,0.9236,8
delegated-access-review-gate,1.0,,,0.6250,0.7375,8
delegated-realm-gatekeeper,1.0,,,0.2500,0.4686,8
depaudit-graph-repair,1.0,,,0.8750,0.8750,8
dependency-cycle-mapper,1.0,,,1.0000,0.9973,8
dependency-ledger-repair,1.0,,,0.3750,0.5444,8
deplock-semver-resolver,1.0,,,1.0000,0.8125,8
deptree-peer-resolver,1.0,,,0.0000,0.2173,8
deque-linearizability-replay,1.0,,,0.1250,0.3259,8
deterministic-2048,1.0,,,1.0000,0.9693,8
deterministic-load-metrics,1.0,,,1.0000,0.9858,8
deterministic-prebuild-forge,1.0,,,1.0000,0.9806,8
deterministic-shard-plan,1.0,,,0.7500,0.7708,8
deterministic-snake-referee,1.0,,,0.7500,0.8196,8
dfa-canonicalizer-fix,1.0,,,1.0000,0.9625,8
die-placement-optimizer,1.0,,,1.0000,0.9932,8
diffraction-certificate-issuer,1.0,,,0.1250,0.3727,8
digest-bundle-repair,1.0,,,0.8750,0.8821,8
digit-cascade-reduction,1.0,,,0.6250,0.6949,8
directive-audit,1.0,,,1.0000,0.9948,8
dkim-offline-authenticator,1.0,,,0.1250,0.3842,8
dns-caa-auditor,1.0,,,0.3750,0.5280,8
dns-name-cataloger,1.0,,,1.0000,0.9625,8
dns-zone-audit,1.0,,,1.0000,0.9637,8
dnssec-rollover-audit,1.0,,,0.7500,0.7688,8
dock-berth-report-fix,1.0,,,0.0000,0.2276,8
dock-handoff-audit,1.0,,,0.7500,0.7608,8
docket-replay-audit,1.0,,,0.0000,0.2976,8
domain-transition-drift,1.0,,,0.0000,0.2460,8
draftseal-bracket-anticheat,1.0,,,0.2500,0.3406,8
drain-admission-engine,1.0,,,1.0000,1.0000,8
drayage-gate-settle,1.0,,,1.0000,0.9646,8
dtype-cache-wal-reconcile,1.0,,,0.0000,0.2835,8
duel-clock-arbiter,1.0,,,0.2500,0.4551,8
durable-hex-adjudicator,1.0,,,0.6250,0.6748,8
duration-apnea-hmm,1.0,,,0.7500,0.8021,8
dwell-audit-pipeline,1.0,,,1.0000,0.9087,8
dye-lot-service-fixes,1.0,,,0.0000,0.3000,8
dynamic-dependency-stabilize,1.0,,,1.0000,0.7000,8
ebmt-illness-death-pipeline,1.0,,,0.6250,0.7258,8
echo-facet-resync,1.0,,,0.0000,0.1863,8
ecn-probe-flowctl,1.0,,,0.3750,0.5148,8
edgecrew-route-planner,1.0,,,0.5000,0.5806,8
editorconfig-cascade-resolver,1.0,,,0.5000,0.6125,8
effective-policy-repair,1.0,,,1.0000,0.9030,8
effluent-permit-validator,1.0,,,0.2500,0.4750,8
electric-route-minizinc,1.0,,,0.3750,0.5162,8
elevator-dispatch-sync,1.0,,,1.0000,0.9707,8
elki-unsupervised-eval,1.0,,,0.0000,0.2825,8
ellipsoid-geodesic-midpoints,1.0,,,0.7500,0.8106,8
ellipsoid-normal-feet,1.0,,,0.2500,0.4276,8
ema-analysis-core,1.0,,,1.0000,0.9971,8
ember-grid-duel-runner,1.0,,,0.7500,0.6809,8
emlog-abi-layout-fix,1.0,,,1.0000,0.9844,8
endpoint-bucket-dual-lock,1.0,,,0.2500,0.4705,8
energy-subsidy-kink,1.0,,,1.0000,0.9452,8
envelope-release-replay,1.0,,,0.8750,0.8225,8
epoch-tail-lineage,1.0,,,1.0000,0.9455,8
equilibrated-linear-solver,1.0,,,0.5000,0.6500,8
erbf-replay-reconstructor,1.0,,,0.3750,0.4760,8
escort-plan-settler,1.0,,,0.8750,0.8588,8
escrow-ladder-replay,1.0,,,0.0000,0.2625,8
etc-trip-ledger,1.0,,,0.8750,0.7988,8
eucalyptus-utility-ordinal,1.0,,,1.0000,1.0000,8
euclid-raid-winner,1.0,,,1.0000,1.0000,8
euv-access-guard,1.0,,,0.5000,0.6481,8
event-ledger-repair,1.0,,,1.0000,0.9606,8
event-log-forge,1.0,,,0.8750,0.8470,8
event-summary-pipeline,1.0,,,0.0000,0.2518,8
event-time-windowing,1.0,,,0.7500,0.8229,8
event-watermark-ledger-repair,1.0,,,0.5000,0.6212,8
exact-matrix-inertia,1.0,,,0.7500,0.7862,8
exact-pencil-inertia,1.0,,,0.8750,0.9085,8
exact-root-isolator,1.0,,,0.6250,0.6484,8
exactly-once-stream-operator,1.0,,,0.5000,0.6388,8
exam-hall-balancer,1.0,,,0.8750,0.9073,8
examiner-leniency-iv,1.0,,,,,0
experiment-anomaly-policy,1.0,,,1.0000,0.9797,8
export-ticket-hardening,1.0,,,0.8750,0.9125,8
exposure-audit-replay,1.0,,,0.6250,0.6887,8
extension-version-resolver,1.0,,,0.7500,0.7406,8
extreplay-journal-repair,1.0,,,0.0000,0.2332,8
fab-booking-api-fix,1.0,,,1.0000,0.9276,8
facility-att-estimation,1.0,,,1.0000,0.8250,8
facility-replay-determinism,1.0,,,0.7500,0.7926,8
factor-pricing-test,1.0,,,0.3750,0.4125,8
fare-reconciliation-pipeline,1.0,,,0.6250,0.7227,8
feature-aware-package-resolver,1.0,,,0.0000,0.2936,8
federated-query-ledger-plan,1.0,,,0.0000,0.2798,8
federation-bundle-auditor,1.0,,,0.3750,0.4335,8
fence-hook-journal-replay,1.0,,,1.0000,0.9556,8
fencing-lease-reconcile,1.0,,,0.0000,0.3000,8
fenwold-replay-scoresheet,1.0,,,0.0000,0.2719,8
fermenter-tank-allocation,1.0,,,1.0000,0.9604,8
festival-screening-flow,1.0,,,1.0000,0.9700,8
field-auth-gateway,1.0,,,0.0000,0.2703,8
field-kit-ledger,1.0,,,0.7500,0.7662,8
finance-ingest-reconcile,1.0,,,0.2500,0.4333,8
finops-cost-allocation,1.0,,,0.8750,0.8345,8
firewall-change-verifier,1.0,,,0.2500,0.3625,8
firewall-lineage-replay,1.0,,,1.0000,0.9285,8
firmware-bundle-packager,1.0,,,0.0000,0.2414,8
first-data-overage,1.0,,,1.0000,0.9797,8
fischer-castling-certificate,1.0,,,0.8750,0.8610,8
fits-pixel-statistics,1.0,,,1.0000,0.9929,8
fixed-point-nbody,1.0,,,0.0000,0.2402,8
fixedstar-scene-audit,1.0,,,0.0000,0.2845,8
fleet-fuel-report-fix,1.0,,,0.7500,0.7250,8
fleet-skew-auditor,1.0,,,0.0000,0.2169,8
flight-calibration-solver,1.0,,,1.0000,0.9885,8
flight-recorder-rebuild,1.0,,,0.6250,0.7194,8
flink-savepoint-arbiter,1.0,,,0.8750,0.9125,8
floe-desk-contracts,1.0,,,0.0000,0.2971,8
flood-watch-ledger,1.0,,,0.5000,0.6500,8
flow-sentinel-events,1.0,,,0.3750,0.5338,8
flower-crate-allocation,1.0,,,1.0000,0.9437,8
fluorescence-assay-worker,1.0,,,0.5000,0.6031,8
fluxline-restart-conservation,1.0,,,0.0000,0.2420,8
font-subset-replay-parity,1.0,,,1.0000,0.9909,8
forked-heads-replay,1.0,,,0.5000,0.5726,8
formula-range-sanity,1.0,,,0.8750,0.8798,8
forwarding-provenance-replay,1.0,,,0.1250,0.2554,8
frame-dragging-api-fix,1.0,,,1.0000,0.9948,8
frame-replay-contracts,1.0,,,0.0000,0.1198,8
fraud-replay-parity,1.0,,,0.7500,0.8000,8
freeze-report-rerun,1.0,,,0.2500,0.4750,8
freezer-packout-planner,1.0,,,0.7500,0.8191,8
freight-provenance-repair,1.0,,,0.6250,0.7375,8
frequency-polygon-density,1.0,,,1.0000,0.9573,8
frostember-cert-inventory,1.0,,,0.8750,0.7846,8
frostline-preisach-map,1.0,,,0.7500,0.8250,8
fstab-remount-ladder,1.0,,,0.0000,0.2889,8
furnace-charge-packer,1.0,,,1.0000,0.9879,8
fuse-circuit-settling,1.0,,,1.0000,0.9820,8
fx-parser-hardening,1.0,,,0.7500,0.7807,8
fx-report-tier-fix,1.0,,,0.1250,0.3247,8
galley-line-breaking,1.0,,,0.0000,0.2925,8
gasoline-beta-regression,1.0,,,1.0000,0.9991,8
gate-normalizer-cli,1.0,,,0.5000,0.6391,8
gatekeep-evidence-replay,1.0,,,0.2500,0.3277,8
gateway-policy-hardening,1.0,,,0.2500,0.3391,8
gcra-drift-cascade,1.0,,,0.6250,0.7375,8
gdpack-subcommand-repair,1.0,,,1.0000,1.0000,8
gearbox-stress-spans,1.0,,,1.0000,0.9539,8
generation-scoped-auth,1.0,,,0.0000,0.2708,8
gff-feature-loader,1.0,,,0.1250,0.3005,8
gimp-bundle-policy-audit,1.0,,,0.5000,0.6421,8
git-object-parity,1.0,,,0.0000,0.2891,8
gitignore-precedence-engine,1.0,,,0.8750,0.8260,8
gitmirror-recovery-fix,1.0,,,0.5000,0.6371,8
glacier-bundle-resolver,1.0,,,0.3750,0.4875,8
glacier-thermal-calibrator,1.0,,,0.6250,0.7375,8
glass-harbor-regatta,1.0,,,0.2500,0.4473,8
glaze-kiln-risk-planner,1.0,,,0.3750,0.5344,8
glibc-musl-ladder-pact,1.0,,,0.0000,0.2827,8
global-bucket-drift,1.0,,,0.7500,0.8168,8
glycol-handoff-trace,1.0,,,1.0000,0.9850,8
glyph-replay-align,1.0,,,0.0000,0.2595,8
gmsh-mesh-calculations,1.0,,,0.8750,0.9070,8
go-hash-ring-proxy,1.0,,,0.6250,0.6325,8
governor-token-buckets,1.0,,,0.5000,0.6232,8
gowhim-game-solver,1.0,,,1.0000,0.8826,8
gpu-affinity-packer,1.0,,,1.0000,0.9910,8
gradle-lockfile-auditor,1.0,,,0.0000,0.1341,8
gradle-version-verifier,1.0,,,0.0000,0.2925,8
grant-review-api-fix,1.0,,,0.8750,0.9083,8
grape-tonnage-replay,1.0,,,0.5000,0.5938,8
graph-centrality-fix,1.0,,,1.0000,0.9250,8
graph-heat-inverse,1.0,,,0.6250,0.7246,8
graphpulse-predict-repair,1.0,,,0.0000,0.2971,8
graphql-audit-ledger,1.0,,,1.0000,0.9187,8
graphql-deprecation-impact,1.0,,,0.1250,0.3180,8
graphviz-diagnostics-schema,1.0,,,0.2500,0.4437,8
grid-ledger-reconcile,1.0,,,0.0000,0.2604,8
gridcert-offline-build,1.0,,,0.5000,0.6059,8
h3k-root-confinement,1.0,,,0.0000,0.2760,8
hackenbush-string-evaluator,1.0,,,1.0000,1.0000,8
hackenbush-winner-fix,1.0,,,1.0000,0.7897,8
hangar-shift-weaver,1.0,,,1.0000,1.0000,8
haplotype-report-generator,1.0,,,0.7500,0.8070,8
harwell-boeing-spmv,1.0,,,0.8750,0.8987,8
hash-audit-pipeline,1.0,,,0.1250,0.3414,8
haste-initiative-chronology,1.0,,,1.0000,1.0000,8
hdr-phantom-dose-audit,1.0,,,0.3750,0.5584,8
header-dedupe-report,1.0,,,0.8750,0.9038,8
healthcheck-rollup-fix,1.0,,,0.7500,0.7768,8
heat-diffusion-calibration,1.0,,,1.0000,0.9878,8
helios-flare-photocal,1.0,,,0.6250,0.6966,8
hex-acoustic-path-cover,1.0,,,1.0000,1.0000,8
hex-siege-simulator,1.0,,,0.5000,0.5312,8
histogram-tally-attest,1.0,,,0.8750,0.8225,8
hitstop-lockstep-matchseal,1.0,,,0.5000,0.5516,8
hls-fragment-recovery,1.0,,,1.0000,1.0000,8
hnefatafl-king-arbiter,1.0,,,0.1250,0.3456,8
holdout-arbiter-repair,1.0,,,0.0000,0.2553,8
host-only-csrf-replay,1.0,,,0.8750,0.8884,8
hourly-sepsis-prediction,1.0,,,1.0000,0.9888,8
house-returns-cleaning,1.0,,,0.6250,0.7356,8
housekeeping-claims,1.0,,,1.0000,0.9722,8
